u,v,color
0,1,0
0,2,0
0,3,0
0,4,0
5,1,0
5,6,0
5,7,0
4,6,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
10,19,0
10,9,0
10,11,0
10,20,0
10,21,0
10,12,0
10,22,0
10,13,0
10,15,0
10,16,0
10,23,0
10,24,0
10,18,0
11,9,0
11,25,0
11,26,0
11,20,0
11,12,0
11,27,0
11,28,0
11,29,0
11,30,0
11,13,0
11,15,0
11,16,0
11,18,0
12,9,0
12,20,0
12,31,0
12,32,0
12,13,0
12,33,0
12,15,0
12,16,0
12,18,0
13,9,0
13,20,0
13,15,0
13,16,0
13,18,0
14,19,0
14,34,0
14,18,0
15,9,0
15,35,0
15,16,0
15,18,0
16,19,0
16,9,0
16,36,1,2,0
16,37,1,0,2
16,38,2,0
16,39,2,1,0
16,40,1,2,0
16,41,1,0,2
16,42,1,2,0
16,43,2,1,0
16,44,1,0,2
16,45,0,1,2
16,46,0,2,1
16,47,1,0,2
16,48,2,1,0
16,49,0,2,1
16,50,2,0,1
16,51,0,2,1
16,52,0,1,2
16,35,2,1,0
16,53,1,0,2
16,20,2,0,1
16,54,2,0,1
16,55,2,0,1
16,56,2,0,1
16,57,0,2
16,58,0,2,1
16,59,1,2,0
16,60,0
16,21,1,0,2
16,61,1,2,0
16,62,1,2,0
16,63,1,2,0
16,64,2,1,0
16,65,2,1,0
16,27,0
16,28,0
16,29,0
16,66,0
16,67,1,0,2
16,68,0
16,32,1,0,2
16,69,0
16,70,0,1,2
16,71,2,0
16,72,2,0
16,73,0
16,24,0
16,74,0,2,1
16,75,2,0
16,76,0,1,2
16,77,1,2,0
16,18,0
17,78,0
17,9,0
17,79,4
17,80,0
17,81,0
17,82,0
83,84,0
83,85,0
83,86,0
83,87,0
83,88,0
83,89,0
83,90,0
83,91,0
84,92,0
84,93,0
84,85,0
84,94,3,1,5
84,86,0
84,87,0
84,95,0
84,88,0
84,89,0
84,90,0
84,91,0
85,92,0
85,93,0
85,86,0
85,87,0
85,88,0
85,91,0
86,96,0
86,92,0
86,93,0
86,97,0
86,94,5,1,3
86,98,0
86,99,0
86,100,0
86,101,0
86,102,0
86,103,0
86,87,0
86,95,0
86,104,4,0
86,105,0,4
86,106,0,4
86,107,0
86,88,0
86,89,0
86,108,4,0
86,90,0
86,109,0
86,110,0
86,111,3
86,112,0
86,113,0
86,114,0
86,115,4,0
86,116,0
86,91,0
87,95,0
87,88,0
87,89,0
87,90,0
87,91,0
88,96,0
88,92,0
88,93,0
88,117,0
88,97,0
88,94,3,5,0,1
88,98,5,0,3
88,99,0
88,100,0
88,101,0
88,102,0
88,103,0
88,95,0,5,3
88,104,0,4
88,105,4,0
88,106,0,4
88,107,0
88,109,0
88,110,0
88,111,3
88,112,0
88,113,0
88,114,0
88,115,0,4
88,116,0
88,91,0
88,89,0
88,108,4,0
88,90,0
89,92,0
89,93,0
89,91,0
90,92,0
90,93,0
90,91,0
91,96,0
91,92,0
91,93,0
91,117,0
91,97,0
91,94,1,0,5,3
91,98,0,5,3
91,99,0
91,100,0
91,101,0
91,102,0
91,103,0
91,95,0,3,5
91,104,0,4
91,105,0,4
91,106,0,4
91,107,0
91,108,4,0
91,109,0
91,110,0
91,111,3
91,112,0
91,113,0
91,114,0
91,115,0,4
91,116,0
118,119,0
119,107,0
120,121,0
120,122,0
120,123,0
124,125,0
124,126,0
124,127,0
124,128,0
124,129,0
124,130,0
124,131,0
124,132,0
125,126,0
125,127,0
