u,v,color
0,1,2,0
0,2,0,2
0,3,0,2
0,4,2,0
0,5,0,2
0,6,0,2
0,7,2,0
0,8,0,2
0,9,2,0
0,10,2,0
0,11,2,0
0,12,2,0
0,13,2,0
0,14,0,2
0,15,2,0
0,16,0,2
0,17,0,2
0,18,0,2
0,19,2,0
0,20,2,0
0,21,2,0
0,22,0,2
0,23,0,2
0,24,0
0,25,0,2
0,26,0,2
0,27,2,0
0,28,2,0
0,29,0,2
0,30,0,2
0,31,2,0
0,32,2,0
0,33,2,0
0,34,2,0
0,35,0,2
0,36,2,0
0,37,0,2
0,38,0,2
1,2,1,0,2
1,3,0,1,2
1,39,0,2,1
1,40,0
1,4,2,0,1
1,41,2,0,1
1,5,1,2,0
1,6,2,1,0
1,42,2,1
1,7,2,0,1
1,8,1,2,0
1,9,1,0,2
1,10,0,2,1
1,11,2,1,0
1,12,2,0,1
1,13,1,2,0
1,14,2,0,1
1,15,2,0,1
1,16,2,1,0
1,17,1,0,2
1,18,0,1,2
1,19,1,2,0
1,20,0,2,1
1,21,1,2,0
1,22,2,1,0
1,23,1,0,2
1,43,1,2
1,44,0
1,25,1,0,2
1,26,2,0,1
1,27,2,1,0
1,28,1,2,0
1,29,1,2,0
1,30,1,0,2
1,31,2,0,1
1,32,1,2,0
1,33,2,0,1
1,34,2,0,1
1,35,0,2,1
1,36,0,1,2
1,37,2,0,1
1,38,1,2,0
5,45,0
5,2,0,2,1
5,3,2,1,0
5,46,0,2,1
5,39,0,1,2
5,47,0
5,48,0
5,49,0
5,4,1,2,0
5,41,0,1,2
5,50,0
5,6,1,0,2
5,51,0
5,42,2,1
5,7,0,1,2
5,8,1,0,2
5,9,1,0,2
5,10,0,2,1
5,11,1,2,0
5,12,2,0,1
5,13,2,1,0
5,14,1,2,0
5,15,1,2,0
5,16,0,1,2
5,17,1,0,2
5,18,0,1,2
5,19,1,2,0
5,20,0,1,2
5,21,0,1,2
5,22,1,0,2
5,23,2,1,0
5,43,1,2
5,52,0
5,53,0
5,25,1,2,0
5,26,2,0,1
5,27,2,1,0
5,28,0,2,1
5,29,1,0,2
5,54,0
5,30,2,1,0
5,31,2,0,1
5,32,1,2,0
5,33,2,1,0
5,34,0,2,1
5,35,1,2,0
5,36,0,1,2
5,55,1,2,0
5,56,0
5,37,0,1,2
5,38,0,2,1
5,57,1,2,0
6,2,1,2,0
6,3,2,1,0
6,39,0,2,1
6,58,0
6,4,1,0,2
6,41,1,0,2
6,7,0,2,1
6,8,1,0,2
6,9,0,2,1
6,10,0,2,1
6,11,1,2,0
6,12,1,0,2
6,13,1,0,2
6,14,1,2,0
6,15,1,2,0
6,16,2,1,0
6,17,2,1,0
6,18,0,2,1
6,19,1,2,0
6,20,0,1,2
6,21,2,0,1
6,22,2,0,1
6,23,1,2,0
6,26,0,2,1
6,27,2,0,1
6,28,0,1,2
6,29,2,0,1
6,30,1,2,0
6,31,0,1,2
6,32,2,1,0
6,33,2,0,1
6,34,1,0,2
6,35,2,0,1
6,36,0,2,1
6,37,0,2,1
6,38,2,0,1
25,59,0,6
25,2,1,0,2
25,3,2,0,1
25,39,2,1,0
25,60,6,1,0
25,4,0,1,2
25,41,0,1,2
25,7,1,0,2
25,8,2,1,0
25,9,0,1,2
25,10,1,2,0
25,11,0,1,2
25,12,0,2,1
25,61,0
25,13,0,1,2
25,14,2,0,1
25,15,0,1,2
25,16,1,0,2
25,17,0,1,2
25,18,1,2,0
25,19,1,0,2
25,20,2,0,1
25,21,1,0,2
25,22,2,0,1
25,23,0,2,1
25,62,6,0,1
25,63,0,6,1
25,64,0
25,65,6,1,0
25,66,1,0,6
25,26,1,2,0
25,27,1,0,2
25,28,2,1,0
25,29,1,2,0
25,30,2,0,1
25,67,0,1,6
25,68,6,1,0
25,31,1,2,0
25,32,0,2,1
25,33,1,2,0
25,34,2,1,0
25,35,1,0,2
25,36,0,1,2
25,37,0,2,1
25,38,1,0,2
28,2,2,1,0
28,3,0,2,1
28,46,0,2,1
28,4,0,2,1
28,41,0,1,2
28,69,0
28,42,2,1
28,7,1,2,0
28,8,0,2,1
28,9,1,2,0
28,10,1,0,2
28,11,1,0,2
28,12,2,1,0
28,13,2,0,1
28,14,1,0,2
28,15,2,1,0
28,16,0,1,2
28,17,2,0,1
28,18,0,2,1
28,19,2,0,1
28,20,2,0,1
28,21,0,1,2
28,22,2,1,0
28,23,2,0,1
28,70,0
28,71,1,2,0
28,26,0,1,2
28,27,0,1,2
28,29,1,0,2
28,30,0,2,1
28,72,0
28,31,2,0,1
