u,v,color
0,1,0,2
0,2,0,2
0,3,2,0
0,4,0
0,5,0
0,6,2,0
0,7,0,2
0,8,2,0
0,9,0
0,10,0
0,11,2
0,12,0
0,13,2,0
0,14,2,0
0,15,2,0
0,16,0
0,17,0
0,18,2,0
0,19,0,2
0,20,0
0,21,2,0
0,22,2,0
0,23,2,0
0,24,2,0
0,25,0,2
0,26,0,2
0,27,0
0,28,2,0
0,29,2,0
0,30,0
0,31,0,2
0,32,0,2
0,33,0,2
0,34,2,0
0,35,0,2
0,36,2,0
0,37,0
0,38,2,0
0,39,2
0,40,2
0,41,0,2
0,42,0
0,43,0
0,44,0,2
0,45,2,0
0,46,0
0,47,0
0,48,0
0,49,2
0,50,0
0,51,2,0
0,52,2,0
0,53,0
0,54,2
0,55,2,0
0,56,0,2
0,57,0,2
0,58,0,2
0,59,0
0,60,2,0
0,61,0,2
0,62,0
0,63,2,0
0,64,0,2
0,65,0,2
8,1,2,0
8,2,2,0
8,3,2,0
8,6,0,2
8,7,0,2
8,66,2,0
8,13,0,2
8,14,2,0
8,15,0,2
8,18,2,0
8,19,2,0
8,20,0
8,21,0,2
8,22,2,0
8,23,0,2
8,24,0,2
8,25,2,0
8,26,0,2
8,28,2,0
8,29,2,0
8,67,0
8,31,0,2
8,32,2,0
8,33,0,2
8,34,0,2
8,35,2,0
8,36,2,0
8,38,0,2
8,41,2,0
8,43,0
8,44,0,2
8,45,0,2
8,48,0
8,68,0,2
8,51,0,2
8,52,0,2
8,55,2,0
8,56,2,0
8,57,0,2
8,58,0,2
8,60,2,0
8,61,0,2
8,63,0,2
8,64,2,0
14,1,2,0
14,2,2,0
14,3,2,0
14,69,0
14,6,0,2
14,7,0,2
14,70,0
14,71,0
14,10,0
14,72,0
14,66,0,2
14,11,2
14,73,0
14,12,0
14,13,0,2
14,15,2,0
14,74,0
14,18,2,0
14,19,2,0
14,20,0
14,21,2,0
14,22,0,2
14,23,2,0
14,24,2,0
14,25,0,2
14,75,0
14,76,0
14,26,0,2
14,77,0
14,28,0,2
14,78,0
14,29,0,2
14,79,0
14,31,2,0
14,32,2,0
14,80,0
14,33,0,2
14,34,2,0
14,81,0
14,82,0
14,83,0
14,35,0,2
14,36,0,2
14,84,0
14,85,0
14,38,2,0
14,39,2
14,40,2
14,41,0,2
14,86,0
14,44,0,2
14,45,2,0
14,87,0
14,88,0
14,47,0
14,89,0
14,49,2
14,68,0,2
14,90,0
14,51,0,2
14,52,0,2
14,91,0
14,54,2
14,92,0
14,93,0
14,55,0,2
14,56,0,2
14,94,0
14,57,0,2
14,58,0,2
14,60,2,0
14,61,0,2
14,95,0
14,63,2,0
14,96,0
14,97,0
14,64,0,2
14,65,0,2
15,1,0,2
15,2,2,0
15,3,0,2
15,4,0
15,6,2,0
15,7,2,0
15,9,0
15,66,0,2
15,11,2
15,12,0
15,13,0,2
15,74,0
15,16,0
15,17,0
15,18,0,2
15,19,0,2
15,98,0
15,20,0
15,21,2,0
15,22,0,2
15,23,0,2
15,24,0,2
15,25,2,0
15,26,2,0
15,99,0
15,27,0
15,28,0,2
15,29,0,2
15,31,2,0
15,32,0,2
15,80,0
15,33,2,0
15,34,2,0
15,82,0
15,83,0
15,35,0,2
15,36,0,2
15,37,0
15,85,0
15,38,0,2
15,39,2
15,40,2
15,41,0,2
15,42,0
15,43,0
15,86,0
15,100,0
15,44,2,0
15,45,0,2
15,88,0
15,46,0
15,47,0
15,48,0
15,49,2
15,50,0
15,90,0
15,51,0,2
15,52,0,2
15,54,2
15,55,0,2
15,57,2,0
15,58,0,2
15,59,0
15,60,2,0
15,61,2,0
15,62,0
15,63,0,2
15,97,0
15,64,2,0
15,65,2,0
23,1,2,0
23,2,0,2
23,3,0,2
23,6,0,2
23,7,0,2
23,12,0
23,13,0,2
23,18,2,0
23,19,2,0
23,20,0
23,21,0,2
23,22,2,0
23,24,0,2
23,25,0,2
23,26,0,2
23,28,2,0
23,29,0,2
23,31,2,0
23,32,0,2
23,33,2,0
23,34,0,2
23,35,2,0
23,36,2,0
23,38,0,2
23,41,0,2
23,43,0
23,44,0,2
23,45,2,0
23,47,0
23,48,0
23,68,2,0
23,51,2,0
23,52,2,0
23,55,0,2
23,56,2,0
23,57,2,0
23,58,2,0
23,60,0,2
23,61,2,0
23,63,0,2
23,64,2,0
25,1,2,0
25,2,2,0
25,3,2,0
25,6,0,2
25,7,0,2
25,13,0,2
25,18,0,2
25,19,2,0
25,20,0
25,21,2,0
25,22,0,2
25,24,2,0
25,26,2,0
25,28,0,2
25,29,2,0
25,31,0,2
25,32,0,2
25,33,2,0
25,34,2,0
25,35,2,0
25,36,0,2
25,38,2,0
25,41,0,2
25,44,0,2
25,45,2,0
25,51,0,2
25,52,2,0
25,55,2,0
25,57,0,2
25,58,0,2
25,60,2,0
25,61,2,0
25,63,0,2
25,64,2,0
34,1,0,2
34,2,2,0
34,3,0,2
34,6,2,0
34,7,0,2
34,13,0,2
34,18,0,2
34,19,0,2
34,21,2,0
34,22,2,0
34,24,2,0
34,26,0,2
34,29,2,0
34,31,2,0
34,32,0,2
34,80,0
34,33,2,0
34,82,0
34,83,0
34,35,0,2
34,36,0,2
34,38,0,2
34,41,2,0
34,86,0
34,44,2,0
34,45,0,2
34,88,0
34,90,0
34,51,0,2
34,52,0,2
34,55,2,0
34,56,0,2
34,57,0,2
34,58,2,0
34,60,0,2
34,61,0,2
34,63,2,0
34,97,0
34,64,2,0
35,1,2,0
35,2,2,0
35,3,2,0
35,6,2,0
35,101,0,2
35,7,2,0
35,66,0,2
35,13,2,0
35,18,2,0
35,19,0,2
35,21,0,2
35,22,0,2
35,24,2,0
35,26,0,2
35,28,0,2
35,29,0,2
35,31,0,2
35,32,2,0
35,80,0
35,33,2,0
35,82,0
35,83,0
35,36,2,0
35,38,0,2
35,41,0,2
35,86,0
35,44,0,2
35,45,2,0
35,88,0
35,102,2,0
35,68,2,0
35,90,0
35,51,2,0
35,52,2,0
35,55,2,0
35,56,0,2
35,57,2,0
35,58,2,0
35,60,2,0
35,61,2,0
35,63,2,0
35,97,0
35,64,0,2
35,65,0,2
45,1,2,0
45,2,0,2
45,3,0,2
45,6,2,0
45,7,2,0
45,66,0,2
45,12,0
45,13,0,2
45,19,0,2
45,21,2,0
45,22,2,0
45,24,2,0
45,26,0,2
45,28,2,0
45,29,0,2
45,31,2,0
45,32,0,2
45,33,0,2
45,36,0,2
45,38,0,2
45,41,2,0
45,44,0,2
45,47,0
45,51,2,0
45,52,2,0
45,55,2,0
45,57,2,0
45,58,2,0
45,60,0,2
45,61,0,2
45,63,2,0
45,64,0,2
52,1,2,0
52,2,2,0
52,3,2,0
52,5,0
52,6,0,2
52,7,2,0
52,66,0,2
52,13,2,0
52,19,0,2
52,20,0
52,21,2,0
52,22,2,0
52,24,2,0
52,26,0,2
52,28,2,0
52,29,2,0
52,67,0
52,31,0,2
52,32,0,2
52,80,0
52,33,2,0
52,36,2,0
52,38,0,2
52,41,0,2
52,86,0
52,44,0,2
52,51,2,0
52,55,2,0
52,57,2,0
52,58,2,0
52,60,2,0
52,61,0,2
52,63,2,0
52,64,0,2
52,65,0,2
55,1,0,2
55,2,2,0
55,3,2,0
55,103,0
55,6,2,0
55,104,0
55,7,0,2
55,105,0
55,66,0,2
55,13,0,2
55,19,0,2
55,21,2,0
55,22,0,2
55,106,0
55,24,0,2
55,107,0
55,26,2,0
55,29,2,0
55,31,0,2
55,32,2,0
55,33,2,0
55,108,0
55,109,0
55,36,2,0
55,38,0,2
55,110,0
55,111,0
55,41,0,2
55,44,2,0
55,112,0
55,113,0
55,114,0
55,115,0
55,51,2,0
55,116,0
55,117,0
55,57,2,0
55,58,0,2
55,60,0,2
55,61,2,0
55,63,0,2
55,118,0
55,119,0
55,64,2,0
57,1,2,0
57,2,0,2
57,3,0,2
57,6,2,0
57,7,2,0
57,12,0
57,13,2,0
57,18,2,0
57,19,0,2
57,21,2,0
57,22,0,2
57,24,2,0
57,26,2,0
57,28,2,0
57,29,2,0
57,67,0
57,31,0,2
57,32,2,0
57,33,2,0
57,36,0,2
57,38,2,0
57,41,2,0
57,43,0
57,44,2,0
57,47,0
57,48,0
57,68,2,0
57,51,0,2
57,58,0,2
57,60,0,2
57,61,0,2
57,63,2,0
57,64,0,2
57,65,0,2
60,1,2,0
60,2,2,0
60,3,0,2
60,6,2,0
60,7,0,2
60,66,0,2
60,11,2
60,13,2,0
60,18,2,0
60,19,2,0
60,120,2,0
60,21,2,0
60,22,2,0
60,24,0,2
60,121,0,2
60,122,0,2
60,26,2,0
60,28,0,2
60,29,0,2
60,123,0,2
60,31,0,2
60,32,0,2
60,80,0
60,33,2,0
60,124,0,2
60,82,0
60,83,0
60,125,0,2
60,36,2,0
60,38,2,0
60,39,2
60,40,2
60,41,0,2
60,86,0
60,44,0,2
60,88,0
60,49,2
60,68,0,2
60,90,0
60,51,2,0
60,54,2
60,56,2,0,5
60,58,0,2
60,61,2,0
60,63,0,2
60,97,0
60,126,2,0
60,64,0,2
60,65,2,0
63,1,2,0
63,2,2,0
63,3,0,2
63,6,0,2
63,7,2,0
63,66,0,2
63,12,0
63,13,0,2
63,19,2,0
63,21,0,2
63,22,2,0
63,24,2,0
63,26,2,0
63,28,0,2
63,29,0,2
63,67,0
63,31,0,2
63,32,0,2
63,33,0,2
63,36,2,0
63,38,2,0
63,41,2,0
63,43,0
63,44,0,2
63,47,0
63,48,0
63,51,2,0
63,58,2,0
63,61,0,2
63,64,0,2
127,128,0
127,129,0
127,130,0
127,131,0
127,132,3,5
128,133,2
129,134,0
129,135,0
129,136,0
129,137,0
129,138,0
129,139,0
129,140,0
129,141,0
129,142,0
129,143,0
129,144,2
129,145,0
129,146,0
129,133,2
129,147,0
130,148,0
130,149,2
130,150,0
130,151,0
130,152,0
130,153,0
130,154,0
130,155,0
130,156,0
130,157,0
130,158,0
130,159,0
130,160,0
130,161,0
131,133,2
132,162,5,0,3,1
132,163,3,5,0,1
132,164,3,1,5,0
132,165,3,1,5,0
132,166,5,0,1,3
132,167,0,1,3,5
132,168,1,0,3,5
132,169,3,1,5,0
132,170,0
132,171,2
132,172,5,1,3,0
132,173,3,5,1
132,174,3,1,0,5
132,175,2
132,176,3,1,5,0
132,177,3,0,1,5
132,178,1,0
132,179,0,5,3,1
132,180,3,5,1,0
132,181,0
132,182,5,0,1,3
132,183,5,3,1,0
184,185,2
184,186,2
184,187,2
184,188,2
184,189,2
184,190,0
184,191,2
184,192,2
184,193,0
184,194,0
184,195,2
184,196,0
190,197,2
190,150,0
190,198,2
190,199,1,2,3
190,200,2
190,201,2
190,202,2
190,203,0
190,204,2
190,188,2
190,205,2
190,206,2
190,207,2
190,208,2
190,209,2
190,210,0
190,211,2
190,212,0
190,191,2,0
190,213,0
190,214,0
190,215,0,2
190,216,2
190,217,2
190,218,0
190,219,2
190,220,2
190,221,0
192,222,2
192,223,2
192,224,0
192,225,0
192,226,0
192,227,0
192,228,0
192,229,0
192,203,2
192,230,0
192,231,0
192,188,2,0
192,207,2,0
192,212,2
192,232,0
192,233,2,0
192,213,2
192,214,2
192,234,0
192,235,0
192,236,0
192,237,0,2
192,221,2
192,238,0
193,197,2
193,150,0
193,198,2
193,199,2,3,1
193,200,2
193,201,2
193,202,2
193,203,0
193,204,2
193,188,2
193,205,2
193,206,2
193,207,2
193,208,2
193,209,2
193,210,0
193,211,2
193,212,0
193,191,2,0
193,213,0
193,214,0
193,215,2,0
193,216,2
193,217,2
193,218,0
193,219,2
193,220,2
193,221,0
194,197,2
194,150,0
194,198,2
194,199,1,3,2
194,200,2
194,201,2
194,202,2
194,203,0
194,204,2
194,188,2
194,205,2
194,206,2
194,207,2
194,208,2
194,209,2
194,210,0
194,211,2
194,212,0
194,191,2,0
194,213,0
194,214,0
194,215,0,2
194,216,2
194,217,2
194,218,0
194,219,2
194,220,2
194,221,0
196,197,2
196,150,0
196,198,2
196,199,1,3,2
196,200,2
196,201,2
196,202,2
196,203,0
196,204,2
196,188,2
196,205,2
196,206,2
196,207,2
196,208,2
196,209,2
196,210,0
196,211,2
196,212,0
196,191,2,0
196,213,0
196,214,0
196,215,0,2
196,216,2
196,217,2
196,218,0
196,219,2
196,220,2
196,221,0
239,240,1
239,241,0
239,242,0
239,98,0
239,243,0
239,244,1
239,245,0
239,246,0
239,247,0,1
239,248,0
239,249,0
239,250,0
251,252,0
251,253,1
251,254,0
251,255,0
251,256,0
251,257,0
251,258,0,1
251,259,0
251,260,0
251,261,0
251,262,0
251,263,0
251,264,3,1
251,265,0
251,266,3,1
251,267,1,0
251,268,0
251,269,0
251,270,0,1
251,271,0
251,272,0
251,273,0
251,274,0,1
251,275,0
251,276,1
251,277,1
251,278,0
251,279,1
251,280,0
251,281,0
251,282,0
251,283,1
251,284,0
251,285,0
251,286,0
251,287,0
251,288,0
251,289,0,1
251,290,0
257,254,0
257,255,0
257,265,0
257,291,0
257,271,0
257,272,0
257,292,0
257,293,1
257,294,1
257,295,0
257,288,0
262,254,0
262,255,0
262,295,0
262,294,1
262,293,1
262,292,0
262,272,0
262,288,0
262,265,0
262,291,0
262,271,0
268,252,0
268,254,0
268,255,0
268,296,3,1
268,258,1
268,261,0
268,297,0
268,298,3,1
268,263,0
268,299,0
268,264,1,3
268,300,1,3
268,265,0
268,301,3,1
268,302,1,3
268,266,1,3
268,269,0
268,271,0
268,272,0
268,303,1
268,274,1
268,275,0
268,276,3,1
268,277,1
268,278,0
268,304,1,3
268,280,0
268,305,3,1
268,283,3,1
268,306,1
268,284,0
268,307,0
268,308,0
268,309,3,1
268,310,3,1
268,311,0
268,312,3,1
268,313,0
268,285,0
268,286,0
268,314,0
268,315,1,3
268,316,0
268,317,1,3
268,295,0
268,288,0
268,289,1
269,295,0
272,252,0
272,240,0
272,318,0
272,254,0
272,319,0
272,320,0
272,321,0
272,258,0,1
272,261,0
272,322,0
272,297,0
272,263,0
272,323,0
272,265,0
272,324,0
272,325,0
272,267,1
272,291,0
272,270,1
272,326,0
272,327,0
272,328,0
272,273,0
272,244,0
272,274,0,1
272,292,0
272,275,0
272,277,1
272,278,0
272,329,0
272,245,0
272,330,0
272,280,0
272,246,0
272,331,0
272,282,0
272,332,0
272,333,0
272,247,0
272,334,0
272,335,0
272,284,0
272,336,0
272,337,0
272,338,0
272,286,0
272,287,0
272,339,0
272,340,0
272,295,0
272,341,0
272,289,1
272,290,0
272,342,0
272,343,0
274,240,0
274,344,0,2
274,345,1
274,258,2,0
274,346,0
274,347,1
274,324,1
274,267,2,0
274,270,0,2
274,273,0
274,292,1,0
274,348,2,0
274,277,2,0
274,278,0,1
274,282,1
274,349,1
274,350,0
274,351,1
274,248,0,2
274,249,2,0
274,352,1
274,353,0
274,354,0,2
274,355,1
274,340,0
274,295,0,1
274,289,2,0
282,356,0
282,344,1
282,357,0
282,345,0
282,258,1
282,358,0
282,359,0
282,360,0
282,347,0
282,361,0
282,362,0
282,324,0
282,363,0
282,364,0
282,365,0
282,267,1
282,270,1
282,366,0
282,273,0
282,292,0
282,348,1
282,277,1
282,278,0
282,367,0
282,368,0
282,369,0
282,370,0
282,208,0
282,349,0
282,371,0
282,351,0
282,372,0
282,248,1
282,249,1
282,352,0
282,373,0
282,374,0
282,375,0
282,354,1
282,376,0
282,377,0
282,378,0
282,379,0
282,355,0
282,295,0
282,380,0
282,381,0
282,289,1
285,254,0
285,255,0
285,297,0
285,299,0
285,265,0
285,271,0
285,280,0
285,307,0
285,308,0
285,311,0
285,382,0
285,313,0
285,295,0
285,288,0
290,254,0
290,255,0
290,265,0
290,291,0
290,271,0
290,292,0
290,293,1
290,294,1
290,295,0
290,288,0
383,384,0,1,3,2
383,385,3,2
383,386,2,3
383,387,1
383,322,0,2,3,1
383,388,0
383,389,2,3,1,0
383,390,3,1,2,0
383,391,1,2,0,3
383,392,2,3
383,393,3,0,1,2
383,394,0,2,1,3
383,395,3,2,0,1
383,396,2,3
